ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
Xam,/Xam,,-31,21,xamm1241,xam
Abkhaz,Abkhaz,,43.08333333,41,abkh1244,abk
Abun,Abun,,-0.5,132.5,abun1252,kgr
Acoma,Acoma,,34.91666667,-107.5833333,west2632,kjq
Ainu,Ainu,,43,143,ainu1240,ain
Alagwa,Alagwa,,-5.5,35.75,alag1248,wbj
Alamblak,Alamblak,,-4.666666667,143.3333333,alam1246,amp
Albanian,Albanian,,41,20,gheg1238,aln
Alune,Alune,,-3,128.3333333,alun1238,alp
Amarakaeri,Amarakaeri,,-12.5,-70.5,amar1274,amr
AmbaeLolovoliNortheast,Ambae (Lolovoli Northeast),,-15.41666667,167.8833333,east2443,omb
Ambulas,Ambulas,,-3.833333333,143,ambu1247,abt
Amele,Amele,,-5.25,145.5833333,amel1241,aey
Amharic,Amharic,,10,38,amha1245,amh
Amis,Amis,,23.33333333,121.3333333,amis1246,ami
Apurina,Apurina,,-9,-67,apur1254,apu
Arabela,Arabela,,-2,-75.16666667,arab1268,arl
ArabicEgyptian,Arabic (Egyptian),,30,31,egyp1253,arz
ArabicKormakiti,Arabic (Kormakiti),,35.25,33.5,cypr1248,acy
ArabicMoroccan,Arabic (Moroccan),,34,-6,moro1292,ary
Arawak,Arawak,,5.5,-55.16666667,araw1276,arw
Arbore,Arbore,,5,36.75,arbo1245,arv
ArmenianEastern,Armenian (Eastern),,40,45,nucl1235,hye
ArmenianIranian,Armenian (Iranian),,32.66666667,51.66666667,nucl1235,
Arosi,Arosi,,-10.25,161.3333333,aros1241,aia
Assamese,Assamese,,26,93,assa1263,asm
Atakapa,Atakapa,,30,-93.5,atak1252,aqp
Atayal,Atayal,,24.5,121.3333333,atay1247,tay
Athpare,Athpare,,27,87.33333333,athp1241,aph
Avar,Avar,,42.5,46.5,avar1256,ava
Awtuw,Awtuw,,-3.583333333,142,awtu1239,kmn
Azerbaijani,Azerbaijani,,40.5,48.5,sout2697,azb
Bagvalal,Bagvalal,,42.58333333,46.16666667,bagv1239,kva
BajauSemporna,Bajau (Semporna),,4.5,118.5,sout2918,ssb
Balinese,Balinese,,-8.333333333,115.25,bali1278,ban
Baniwa,Baniwa,,2.666666667,-66.83333333,bani1255,bwi
Baragaunle,Baragaunle,,28.83333333,83.83333333,lowa1242,loy
Bare,Bare,,1,-67,bare1276,bae
Basque,Basque,,43,-3,basq1248,eus
BatakKaro,Batak (Karo),,3.25,98.25,bata1293,btx
BegakIdaan,Begak-Ida'an,,5.25,118.8333333,idaa1241,dbj
Belhare,Belhare,,26.96666667,87.3,belh1239,byw
Bengali,Bengali,,24,90,beng1280,ben
Biatah,Biatah,,1.25,110,biat1246,bth
Boko,Boko,,10.5,3.5,boko1266,bqc
Bora,Bora,,-2.166666667,-72.33333333,bora1263,boa
Brahui,Brahui,,28.5,67,brah1256,brh
Bulgarian,Bulgarian,,42.5,25,bulg1262,bul
Buriat,Buriat,,52,108,mong1330,bxm
Burmese,Burmese,,21,96,nucl1310,mya
Burushaski,Burushaski,,36.5,74.5,buru1296,bsk
CanelaKrah,Canela-Krah_,,-6,-46,cane1242,ram
Cantonese,Cantonese,,23,113,yuec1235,yue
Capanahua,Capanahua,,-7,-74,capa1241,kaq
Carrier,Carrier,,53.75,-123.5,carr1249,crx
Cayuvava,Cayuvava,,-13.5,-65.5,cayu1262,cyb
ChamEastern,Cham (Eastern),,11.33333333,108.5,east2563,cjm
ChamWestern,Cham (Western),,12,105.5,west2650,cja
Chamorro,Chamorro,,13.45,144.75,cham1312,cha
Chantyal,Chantyal,,28.58333333,83.41666667,chan1310,chx
Chayahuita,Chayahuita,,-5.5,-77,chay1248,cbt
Chechen,Chechen,,43.25,45.83333333,chec1245,che
