ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source
Assamese-morphosyntacticplural,Assamese,morphosyntacticplural,yes,morphosyntacticplural-1,,Goswami-1970
Atakapa-sortalclassifier,Atakapa,sortalclassifier,no,sortalclassifier-0,,Swanton-1929
Atakapa-morphosyntacticplural,Atakapa,morphosyntacticplural,no,morphosyntacticplural-0,,Swanton-1929
Atayal-sortalclassifier,Atayal,sortalclassifier,no,sortalclassifier-0,,Rau-1992
Atayal-morphosyntacticplural,Atayal,morphosyntacticplural,no,morphosyntacticplural-0,,Rau-1992
Athpare-sortalclassifier,Athpare,sortalclassifier,yes,sortalclassifier-1,,Noonan-2003a
Athpare-morphosyntacticplural,Athpare,morphosyntacticplural,yes,morphosyntacticplural-1,,Noonan-2003a
Avar-sortalclassifier,Avar,sortalclassifier,no,sortalclassifier-0,,Kazenin-1993
Avar-morphosyntacticplural,Avar,morphosyntacticplural,no,morphosyntacticplural-0,,Kazenin-1993
Awtuw-sortalclassifier,Awtuw,sortalclassifier,no,sortalclassifier-0,,Feldman-1986
Awtuw-morphosyntacticplural,Awtuw,morphosyntacticplural,no,morphosyntacticplural-0,,Feldman-1986
Azerbaijani-sortalclassifier,Azerbaijani,sortalclassifier,yes,sortalclassifier-1,,Householder-and-Lofti-1965
Azerbaijani-morphosyntacticplural,Azerbaijani,morphosyntacticplural,yes,morphosyntacticplural-1,,Householder-and-Lofti-1965
Bagvalal-sortalclassifier,Bagvalal,sortalclassifier,no,sortalclassifier-0,,Kibrik-2001
Bagvalal-morphosyntacticplural,Bagvalal,morphosyntacticplural,no,morphosyntacticplural-0,,Kibrik-2001
BajauSemporna-sortalclassifier,BajauSemporna,sortalclassifier,yes,sortalclassifier-1,,Donohue-1996
BajauSemporna-morphosyntacticplural,BajauSemporna,morphosyntacticplural,yes,morphosyntacticplural-1,,Donohue-1996
Balinese-sortalclassifier,Balinese,sortalclassifier,yes,sortalclassifier-1,,Barber-1977
Balinese-morphosyntacticplural,Balinese,morphosyntacticplural,yes,morphosyntacticplural-1,,Barber-1977
Baniwa-sortalclassifier,Baniwa,sortalclassifier,yes,sortalclassifier-1,,Aikhenvald-1998
Baniwa-morphosyntacticplural,Baniwa,morphosyntacticplural,yes,morphosyntacticplural-1,,Aikhenvald-1998
Baragaunle-sortalclassifier,Baragaunle,sortalclassifier,no,sortalclassifier-0,,Kretschmar-1995
Baragaunle-morphosyntacticplural,Baragaunle,morphosyntacticplural,no,morphosyntacticplural-0,,Kretschmar-1995
Bare-sortalclassifier,Bare,sortalclassifier,no,sortalclassifier-0,,Chaffanjon-1889
Bare-morphosyntacticplural,Bare,morphosyntacticplural,no,morphosyntacticplural-0,,Chaffanjon-1889
Basque-sortalclassifier,Basque,sortalclassifier,no,sortalclassifier-0,,Hualde-and-Ortiz-de-Urbina-2003
Basque-morphosyntacticplural,Basque,morphosyntacticplural,no,morphosyntacticplural-0,,Hualde-and-Ortiz-de-Urbina-2003
BatakKaro-sortalclassifier,BatakKaro,sortalclassifier,yes,sortalclassifier-1,,Woollams-1996
BatakKaro-morphosyntacticplural,BatakKaro,morphosyntacticplural,yes,morphosyntacticplural-1,,Woollams-1996
BegakIdaan-sortalclassifier,BegakIdaan,sortalclassifier,yes,sortalclassifier-1,,Idaan-2005
BegakIdaan-morphosyntacticplural,BegakIdaan,morphosyntacticplural,yes,morphosyntacticplural-1,,Idaan-2005
Belhare-sortalclassifier,Belhare,sortalclassifier,yes,sortalclassifier-1,,Bickel-2003
Belhare-morphosyntacticplural,Belhare,morphosyntacticplural,yes,morphosyntacticplural-1,,Bickel-2003
Bengali-sortalclassifier,Bengali,sortalclassifier,yes,sortalclassifier-1,,Klaiman-1990
Bengali-morphosyntacticplural,Bengali,morphosyntacticplural,yes,morphosyntacticplural-1,,Klaiman-1990
Biatah-sortalclassifier,Biatah,sortalclassifier,yes,sortalclassifier-1,,Omar-1983
Biatah-morphosyntacticplural,Biatah,morphosyntacticplural,yes,morphosyntacticplural-1,,Omar-1983
Boko-sortalclassifier,Boko,sortalclassifier,no,sortalclassifier-0,,Jones-1998b
Boko-morphosyntacticplural,Boko,morphosyntacticplural,no,morphosyntacticplural-0,,Jones-1998b
Bora-sortalclassifier,Bora,sortalclassifier,no,sortalclassifier-0,,Thiesen-1996
Bora-morphosyntacticplural,Bora,morphosyntacticplural,no,morphosyntacticplural-0,,Thiesen-1996
Brahui-sortalclassifier,Brahui,sortalclassifier,no,sortalclassifier-0,,Bray-1909
Brahui-morphosyntacticplural,Brahui,morphosyntacticplural,no,morphosyntacticplural-0,,Bray-1909
Bulgarian-sortalclassifier,Bulgarian,sortalclassifier,no,sortalclassifier-0,,Scatton-1984
Bulgarian-morphosyntacticplural,Bulgarian,morphosyntacticplural,no,morphosyntacticplural-0,,Scatton-1984
