language_name;sortal_classifier;morphosyntactic_plural;continent;genus;longitude;latitude;iso_code;wals_code;glottocode
Alagwa;no;yes;Africa;Southern_Cushitic;35.75;-5.5;wbj;agw;alag1248
Amharic;no;yes;Africa;Semitic;38;10;amh;amh;amha1245
Arabic (Egyptian);no;yes;Africa;Semitic;31;30;arz;aeg;egyp1253
Arabic (Kormakiti);no;yes;Asia;Semitic;33.5;35.25;acy;ako;cypr1248
Arabic (Moroccan);no;yes;Africa;Semitic;-6;34;ary;amr;moro1292
Arbore;no;yes;Africa;Eastern_Cushitic;36.75;5;arv;abo;arbo1245
Dizi;no;yes;Africa;Dizoid;36.5;6.166666667;mdx;diz;dizi1235
Guduf;no;yes;Africa;Biu_Mandara;13.8;11.23333333;gdf;gdf;gudu1252
Hausa;no;yes;Africa;West_Chadic;7;12;hau;hau;haus1257
Hebrew (Modern);no;yes;Asia;Semitic;34.83333333;31.5;heb;heb;hebr1245
Iraqw;no;yes;Africa;Southern_Cushitic;35.5;-4;irk;irq;iraq1241
Margi;no;yes;Africa;Biu_Mandara;13;11;mrt;mrg;marg1265
Mbugu;no;yes;Africa;Southern_Cushitic;38.16666667;-4.333333333;mhd;mbg;mbug1240
Miya;no;yes;Africa;West_Chadic;9.666666667;10.91666667;mkf;miy;miya1266
Mupun;no;yes;Africa;West_Chadic;8.833333333;9.5;sur;mup;mwag1236
Neo-Aramaic (Arbel Jewish);no;yes;Asia;Semitic;35;31.75;aij;naj;lish1245
Ngizim;no;yes;Africa;West_Chadic;10.91666667;12.08333333;ngi;ngz;ngiz1242
Oromo (Harar);no;yes;Africa;Eastern_Cushitic;42;9;hae;orh;east2652
Tuareg (Ghat);no;yes;Africa;Berber;10.16666667;25;thv;tgh;taha1241
Ainu;yes;no;Asia;Ainu;143;43;ain;ain;ainu1240
Cree (Plains);no;yes;Americas;Algonquian;-110;54;crk;cre;plai1258
Azerbaijani;yes;no;Asia;Turkic;48.5;40.5;azb;aze;sout2697
Buriat;no;yes;Asia;Mongolic;108;52;bxm;but;mong1330
Chuvash;no;yes;Europe;Turkic;47.5;55.5;chv;chv;chuv1255
Evenki;no;yes;Asia;Tungusic;125;56;evn;eve;even1259
Khalkha;no;yes;Asia;Mongolic;105;47;khk;kha;halh1238
Nanai;no;yes;Asia;Tungusic;137;49.5;gld;nai;nana1257
Tatar;yes;no;Europe;Turkic;49.5;56;tat;tvo;tata1255
Turkish;yes;yes;Asia;Turkic;35;39;tur;tur;nucl1301
Tuvan;no;yes;Asia;Turkic;95;52;tyv;tuv;tuvi1240
Culina;no;yes;Americas;Arauan;-70.5;-6;cul;cul;culi1244
Deni;no;yes;Americas;Arauan;-67;-6;dny;den;deni1241
Jamamadi;no;yes;Americas;Arauan;-67;-7.5;jaa;jmm;jama1261
Paumari;no;yes;Americas;Arauan;-64;-6;pad;pau;paum1247
Mapudungun;no;no;Americas;Araucanian;-72;-38;arn;map;mapu1245
Apurina;no;no;Americas;Purus;-67;-9;apu;apu;apur1254
Arawak;no;no;Americas;Northern_Arawakan;-55.16666667;5.5;arw;ara;araw1276
Baniwa;yes;no;Americas;Northern_Arawakan;-66.83333333;2.666666667;bwi;bnw;bani1255
Bare;no;no;Americas;Northern_Arawakan;-67;1;bae;bae;bare1276
Palikur;yes;no;Americas;Eastern_Arawakan;-51;3;plu;plk;pali1279
Parecis;no;no;Americas;Central_Arawakan;-57;-14;pab;prc;pare1272
Piro;no;no;Americas;Purus;-73.5;-11;pib;pir;yine1238
Terena;no;no;Americas;Bolivia_Parana;-56;-20;ter;trn;tere1279
Warekena;yes;no;Americas;Northern_Arawakan;-67.5;1.5;gae;wrk;guar1293
Waura;no;no;Americas;Central_Arawakan;-53;-13;wau;wur;waur1244
Atakapa;no;yes;Americas;Atakapa;-93.5;30;aqp;atk;atak1252
Djingili;no;no;Pacific;West_Barkly;134;-17.75;jig;dji;djin1251
Dyirbal;no;no;Pacific;Pama_Nyungan;145.5833333;-17.83333333;dbl;dyi;dyir1250
Gaagudju;no;no;Pacific;Gaagudju;132.8333333;-12.58333333;gbu;gaa;gaga1251
Garrwa;no;no;Pacific;Garrwan;137.1666667;-17.08333333;gbc;grr;gara1261
Gooniyandi;no;no;Pacific;Bunuban;126.3333333;-18.33333333;gni;goo;goon1238
Gunin;no;no;Pacific;Wororan;126.6666667;-14.25;gww;gnn;kwin1241
Jaminjung;no;no;Pacific;Jaminjungan;130.5;-15.08333333;djd;jam;djam1255
Malakmalak;no;no;Pacific;Northern_Daly;130.4166667;-13.41666667;mpb;mlk;mull1237
Mangarrayi;no;no;Pacific;Mangarrayi;133.5;-14.66666667;mpc;myi;mang1381
Martuthunira;no;no;Pacific;Pama_Nyungan;116.5;-20.83333333;vma;mrt;mart1255
Maung;no;no;Pacific;Iwaidjan;133.5;-11.91666667;mph;mau;maun1240
Ngarinyman;no;no;Pacific;Pama_Nyungan;130.5;-16.5;nbj;ngy;ngar1235
Ngiyambaa;no;no;Pacific;Pama_Nyungan;145.5;-31.75;wyb;ngi;wang1291
Nunggubuyu;no;no;Pacific;Nunggubuyu;135.6666667;-13.75;nuy;nug;nung1290
Nyulnyul;no;no;Pacific;Nyulnyulan;122.8333333;-17;nyv;nyu;nyul1247
Tiwi;no;no;Pacific;Tiwian;131;-11.5;tiw;tiw;tiwi1244
Ungarinjin;no;no;Pacific;Wororan;126;-16.33333333;ung;ung;ngar1284
Uradhi;no;no;Pacific;Pama_Nyungan;142.4166667;-11.91666667;urf;uhi;urad1239
Warndarang;no;no;Pacific;Maran;135.5833333;-14.41666667;wnd;wrn;wand1263
Wembawemba;no;no;Pacific;Pama_Nyungan;144;-35.33333333;;wem;
Worora;no;no;Pacific;Wororan;124.6666667;-15.66666667;unp;wor;woro1255
Yidiny;no;no;Pacific;Pama_Nyungan;145.75;-17;yii;yid;yidi1250
Yingkarta;no;no;Pacific;Pama_Nyungan;114.8333333;-25.16666667;yia;yng;ying1247
Yukulta;no;no;Pacific;Tangkic;138.8333333;-17.33333333;gcd;yuk;gang1267
Jahai;yes;no;Asia;Aslian;101.5;5.75;jhi;jah;jeha1242
Kharia;yes;no;Asia;Munda;84.33333333;22.5;khr;khr;khar1287
Khmer;yes;no;Asia;Khmer;105;12.5;khm;khm;cent1989
Khmu';yes;no;Asia;Palaung_Khmuic;102;21;kjg;kmu;khmu1256
Korku;no;no;Asia;Munda;78.5;22.5;kfq;kku;kork1243
Loven;yes;no;Asia;Bahnaric;106.3333333;15;lbo;lov;lave1248
Mah Meri;yes;no;Asia;Aslian;101.5;2.833333333;mhe;mhm;besi1244
Mlabri (Minor);yes;no;Asia;Palaung_Khmuic;101;18.5;mra;mlm;mlab1235
Nicobarese (Car);yes;no;Asia;Nicobarese;93;9;caq;nca;carn1240
