language_name;sortal_classifier;morphosyntactic_plural;continent;genus;longitude;latitude;iso_code;wals_code;glottocode;source
Melanau;yes;no;Asia;North_Borneo;111.5;2.5;mel;mel;cent2101;Omar-1983
Mende;no;yes;Africa;Western_Mande;-11.5;7.833333333;men;mde;mend1266;Innes-1971
Minangkabau;yes;no;Asia;Malayo_Sumbawan;101;-1;min;min;mina1268;Adelaar-1995a
Miskito;no;no;Americas;Misumalpan;-83.66666667;14;miq;mis;misk1235;CIDCA-1985
Mituku;no;yes;Africa;Bantoid;25.5;-1.666666667;zmq;mit;mitu1240;Stappers-1973
Miwok (Southern Sierra);no;no;Americas;Miwok;-120;37.5;skd;mss;sout2985;Broadbent-1964
Mixtec (Chalcatongo);no;yes;Americas;Mixtecan;-97.58333333;17.05;mig;mxc;sanm1295;Macaulay-1996
Miya;no;yes;Africa;West_Chadic;9.666666667;10.91666667;mkf;miy;miya1266;Schuh-1998
Mlabri (Minor);yes;no;Asia;Palaung_Khmuic;101;18.5;mra;mlm;mlab1235;Rischel-1995
Mokilese;yes;no;Pacific;Oceanic;159.75;6.666666667;mkj;mok;moki1238;Harrison-1976
Molala;no;no;Americas;Molala;-122.5;44.5;mbe;mll;mola1238;Kinkade-2001
Mordvin (Erzya);no;yes;Europe;Mordvin;45.5;53;myv;moe;erzy1239;Zaicz-1998
Moset_n;no;no;Americas;Mosetenan;-67.83333333;-14.75;cas;mos;mose1249;Sakel-2002a
Muisca;no;no;Americas;Chibchan_Proper;-74;5;chb;msc;chib1270;Ostler-1994
Munduruku;no;no;Americas;Munduruku;-58;-7;myu;muu;mund1330;Crofts-1973
Mupun;no;yes;Africa;West_Chadic;8.833333333;9.5;sur;mup;mwag1236;Frajzyngier-1993
Nahali;no;no;Asia;Nahali;77.83333333;19.75;nll;nah;niha1238;Kuiper-1962
Nahuatl (Tetelcingo);no;no;Americas;Aztecan;-99;19.66666667;nhg;nht;tete1251;Tuggy-1979
Nanai;no;yes;Asia;Tungusic;137;49.5;gld;nai;nana1257;Sem-1975
Napu;yes;no;Asia;Celebic;120.4166667;-1.333333333;npy;npu;napu1241;Garantjang-et-al-1989
Nara (in Ethiopia);no;no;Africa;Nara;37.58333333;15.08333333;nrb;nar;nara1262;Thompson-1976a
Narom;yes;no;Asia;North_Borneo;114;4.416666667;nrm;nrm;naro1251;Omar-1983
Nasioi;no;yes;Pacific;East_Bougainville;155.5833333;-6.333333333;nas;nas;naas1242;Hurd-and-Hurd-1966
Nauruan;yes;no;Pacific;Oceanic;166.9166667;-0.5;nau;nau;naur1243;Kayser-1993
Navajo;no;no;Americas;Athapaskan;-108;36.16666667;nav;nav;nava1243;Young-and-Morgan-1980
Ndyuka;no;no;Americas;Creoles_and_Pidgins;-54.5;4.5;djk;ndy;ndyu1242;Huttar-and-Huttar-1994
Nelemwa;yes;no;Pacific;Oceanic;164.0833333;-20.25;nee;nel;kuma1276;Bril-2002
Nenets;no;yes;Asia;Samoyedic;72;69;yrk;nen;nene1249;Salminen-1998
Neo-Aramaic (Arbel Jewish);no;yes;Asia;Semitic;35;31.75;aij;naj;lish1245;Khan-1999
Newari (Kathmandu);yes;no;Asia;Mahakiranti;85.5;27.66666667;new;new;newa1246;Genetti-1990
Ngad'a;yes;no;Asia;Central_Malayo_Polynesian;121;-8.833333333;nxg;ngd;ngad1261;Djawanai-2002
Ngarinyman;no;no;Pacific;Pama_Nyungan;130.5;-16.5;nbj;ngy;ngar1235;Ngarinyman-2014
Ngiyambaa;no;no;Pacific;Pama_Nyungan;145.5;-31.75;wyb;ngi;wang1291;Donaldson-1999
Ngizim;no;yes;Africa;West_Chadic;10.91666667;12.08333333;ngi;ngz;ngiz1242;Schuh-1972
Nicobarese (Car);yes;no;Asia;Nicobarese;93;9;caq;nca;carn1240;Braine-1970
Nivkh;yes;no;Asia;Nivkh;142;53.33333333;niv;niv;gily1242;Gruzdeva-1998
Nivkh (South Sakhalin);yes;no;Asia;Nivkh;142.5;47;niv;nvs;gily1242;Gruzdeva-1998
Nubian (Dongolese);no;no;Africa;Nubian;30.75;18.25;kzh;nbd;kenu1236;Armbruster-1960
Nunggubuyu;no;no;Pacific;Nunggubuyu;135.6666667;-13.75;nuy;nug;nung1290;Heath-1984
Nyelayu;yes;no;Pacific;Oceanic;164.3333333;-20.33333333;yly;nyl;nyal1254;Ozanne-Rivierre-1998
Nyulnyul;no;no;Pacific;Nyulnyulan;122.8333333;-17;nyv;nyu;nyul1247;McGregor-1996
O'odham;no;yes;Americas;Tepiman;-112;32;ood;ood;toho1245;Hale-1959
Ocaina;no;yes;Americas;Huitoto;-71.75;-2.75;oca;oca;ocai1244;Ocaina-2004
Onya Darat;yes;no;Asia;Land_Dayak;110.5;-0.75;sdm;smd;sema1269;Onya-1999
Orejon;no;yes;Americas;Tucanoan;-72.5;-2.833333333;ore;ore;orej1242;Velie-and-Velie-1981
Orig;no;yes;Africa;Rashad;30.83333333;12.16666667;ras;ori;tega1236;Schadeberg-and-Elias-1979
Oromo (Harar);no;yes;Africa;Eastern_Cushitic;42;9;hae;orh;east2652;Owens-1985
Padoe;yes;no;Asia;Celebic;121.3333333;-2.333333333;pdo;pad;pado1242;Karhunen-1994
Paiute (Northern);no;yes;Americas;Numic;-118;42;pao;pno;nort2954;Snapp-et-al-1982
Paiute (Southern);no;yes;Americas;Numic;-113.3333333;37.83333333;ute;put;utes1238;Sapir-1930
Palikur;yes;no;Americas;Eastern_Arawakan;-51;3;plu;plk;pali1279;Green-and-Green-1972
Panare;no;no;Americas;Cariban;-66;6.5;pbh;pnr;enap1235;Cauty-1974a
Parecis;no;no;Americas;Central_Arawakan;-57;-14;pab;prc;pare1272;Derbyshire-1986
Paumari;no;yes;Americas;Arauan;-64;-6;pad;pau;paum1247;Chapman-and-Derbyshire-1991
Pawnee;no;yes;Americas;Caddoan;-98.66666667;41;paw;pwn;pawn1254;Parks-1976
Persian;yes;yes;Asia;Iranian;54;32;pes;prs;west2369;Mahootian-1997
Piaroa;no;no;Americas;Piaroa;-67;5;pid;pia;piar1243;Krute-1989
Pileni;yes;no;Pacific;Oceanic;166.2166667;-10.21666667;piv;pil;pile1238;Naess-2000
Pima Bajo;no;yes;Americas;Tepiman;-111;29;pia;pba;pima1248;Estrada-Fernandez-1996
Pipil;no;yes;Americas;Aztecan;-89.58333333;13.83333333;ppl;pip;pipi1250;Campbell-1985
Piraha;no;no;Americas;Mura;-62;-7;myp;prh;pira1253;Everett-1991
Piro;no;no;Americas;Purus;-73.5;-11;pib;pir;yine1238;Matteson-1965
Pohnpeian;yes;no;Pacific;Oceanic;158.25;6.883333333;pon;poh;pohn1238;Lynch-1998
Purepecha;yes;no;Americas;Tarascan;-101.6666667;19.5;tsz;pur;pure1242;Purepecha-2000
Quechua (Cuzco);no;yes;Americas;Quechuan;-71;-14.5;quz;qcu;cusc1236;Faller-2001
Quechua (Huallaga);no;yes;Americas;Quechuan;-75.5;-9.5;qvh;qhu;huam1248;Weber-1989
Quechua (Imbabura);no;yes;Americas;Quechuan;-78;0.333333333;qvi;qim;imba1240;Cole-1982
Quileute;no;no;Americas;Chimakuan;-124.25;47.91666667;qui;qui;quil1240;Andrade-1933
Rapanui;no;no;Americas;Oceanic;-109.3666667;-27.11666667;rap;rap;rapa1244;Chapin-1978
Remo;yes;no;Asia;Munda;82;18;bfw;rem;bond1245;Fernandez-1967
Romani (Sepecides);no;yes;Europe;Indic;27;38.25;;rse;;Cech-and-Heinschink-1996
Rukai (Tanan);no;no;Asia;Rukai;120.8333333;22.83333333;dru;ruk;ruka1240;Zeitoun-2007
Runyoro-Rutooro;no;yes;Africa;Bantoid;31.33333333;1.5;nyo;rru;nyor1246;Rubongoya-1999
Russian;no;yes;Europe;Slavic;38;56;rus;rus;russ1263;Wade-1992
Russian-Chinese Pidgin (Birobidjan);no;no;Asia;Creoles_and_Pidgins;132.95;48.8;;rcp;;dryer_world_2013
Salinan;no;no;Americas;Salinan;-121;36;sln;sal;sali1253;Mason-1918
Salt-Yui;no;no;Pacific;Chimbu;145.0333333;-6.283333333;sll;syu;salt1242;Irwin-1974
Samandang;yes;no;Pacific;Land_Dayak;110.4166667;-0.416666667;;kua;nucl1557;Omar-1983
Samoan;yes;no;Pacific;Oceanic;-171.8333333;-13.91666667;smo;sam;samo1305;Marsack-1962
Sandawe;no;yes;Africa;Sandawe;35;-5;sad;sdw;sand1273;Eaton-2008
Santali;yes;no;Asia;Munda;87;24.5;sat;stl;sant1410;Neukom-2001
Sanuma;no;no;Americas;Yanomam;-64.66666667;4.5;xsu;snm;sanu1240;Borgman-1990
Sawu;yes;no;Asia;Central_Malayo_Polynesian;121.9166667;-11.5;hvn;saw;sabu1255;Walker-1982
