language_name;sortal_classifier;morphosyntactic_plural;continent;genus;longitude;latitude;iso_code;wals_code;glottocode;source
Arosi;no;no;Pacific;Oceanic;161.3333333;-10.25;aia;aro;aros1241;Capell-1971
Assamese;yes;no;Asia;Indic;93;26;asm;ass;assa1263;Goswami-1970
Atakapa;no;yes;Americas;Atakapa;-93.5;30;aqp;atk;atak1252;Swanton-1929
Atayal;no;no;Asia;Atayalic;121.3333333;24.5;tay;ata;atay1247;Rau-1992
Athpare;yes;no;Asia;Mahakiranti;87.33333333;27;aph;ath;athp1241;Noonan-2003a
Avar;no;yes;Europe;Avar_Andic_Tsezic;46.5;42.5;ava;ava;avar1256;Kazenin-1993
Awtuw;no;no;Pacific;Ram;142;-3.583333333;kmn;awt;awtu1239;Feldman-1986
Azerbaijani;yes;no;Asia;Turkic;48.5;40.5;azb;aze;sout2697;Householder-and-Lofti-1965
Bagvalal;no;yes;Europe;Avar_Andic_Tsezic;46.16666667;42.58333333;kva;bgv;bagv1239;Kibrik-2001
Bajau (Semporna);yes;no;Asia;Sama_Bajaw;118.5;4.5;ssb;bjs;sout2918;Donohue-1996
Balinese;yes;no;Asia;Malayo_Sumbawan;115.25;-8.333333333;ban;bal;bali1278;Barber-1977
Baniwa;yes;no;Americas;Northern_Arawakan;-66.83333333;2.666666667;bwi;bnw;bani1255;Aikhenvald-1998
Baragaunle;no;no;Asia;Bodic;83.83333333;28.83333333;loy;brl;lowa1242;Kretschmar-1995
Bare;no;no;Americas;Northern_Arawakan;-67;1;bae;bae;bare1276;Chaffanjon-1889
Basque;no;yes;Europe;Basque;-3;43;eus;bsq;basq1248;Hualde-and-Ortiz-de-Urbina-2003
Batak (Karo);yes;no;Asia;Northwest_Sumatra_Barrier_Islands;98.25;3.25;btx;bkr;bata1293;Woollams-1996
Begak-Ida'an;yes;no;Asia;North_Borneo;118.8333333;5.25;dbj;beg;idaa1241;Idaan-2005
Belhare;yes;no;Asia;Mahakiranti;87.3;26.96666667;byw;bel;belh1239;Bickel-2003
Bengali;yes;no;Asia;Indic;90;24;ben;ben;beng1280;Klaiman-1990
Biatah;yes;no;Asia;Land_Dayak;110;1.25;bth;bit;biat1246;Omar-1983
Boko;no;yes;Africa;Eastern_Mande;3.5;10.5;bqc;bok;boko1266;Jones-1998b
Bora;no;yes;Americas;Boran;-72.33333333;-2.166666667;boa;bor;bora1263;Thiesen-1996
Brahui;no;no;Asia;Northern_Dravidian;67;28.5;brh;brh;brah1256;Bray-1909
Bulgarian;no;yes;Europe;Slavic;25;42.5;bul;bul;bulg1262;Scatton-1984
Buriat;no;yes;Asia;Mongolic;108;52;bxm;but;mong1330;Poppe-1960
Burmese;yes;no;Asia;Burmese_Lolo;96;21;mya;brm;nucl1310;Okell-1969
Burushaski;no;yes;Asia;Burushaski;74.5;36.5;bsk;bur;buru1296;Lorimer-1935
Canela-Krah_;no;no;Americas;Ge_Kaingang;-46;-6;ram;ckr;cane1242;Popjes-and-Popjes-1986
Cantonese;yes;no;Asia;Chinese;113;23;yue;cnt;yuec1235;Zee-1999
Capanahua;no;yes;Americas;Panoan;-74;-7;kaq;cap;capa1241;Loos-1969
Carrier;no;yes;Americas;Athapaskan;-123.5;53.75;crx;crq;carr1249;Morice-1932
Cayuvava;no;yes;Americas;Cayuvava;-65.5;-13.5;cyb;cyv;cayu1262;Key-1967
Cham (Eastern);yes;no;Asia;Malayo_Sumbawan;108.5;11.33333333;cjm;cme;east2563;Alieva-and-Bui-Khanh-The-1999
Cham (Western);yes;no;Asia;Malayo_Sumbawan;105.5;12;cja;chw;west2650;Baumgartner-1998
Chamorro;no;yes;Pacific;Chamorro;144.75;13.45;cha;cha;cham1312;Topping-1973
Chantyal;yes;no;Asia;Bodic;83.41666667;28.58333333;chx;chn;chan1310;Noonan-2003b
Chayahuita;yes;no;Americas;Cahuapanan;-77;-5.5;cbt;chy;chay1248;bourdeau_ergativity_2015
Chechen;no;yes;Europe;Nakh;45.83333333;43.25;che;chc;chec1245;Nichols-1994a
Chepang;no;no;Asia;Mahakiranti;84.75;27.66666667;cdm;cpn;chep1245;Caughley-1982
Chichimeca-Jonaz;no;yes;Americas;Chichimec;-100.5;21.66666667;pei;cjo;chic1272;Lastra-de-Suarez-1984
Chimariko;no;no;Americas;Chimariko;-123;41;cid;chi;chim1301;Dixon-1910
Chinook (Upper);no;no;Americas;Chinookan;-122.5;45.5;wac;cku;wasc1239;Boas-1911b
Chitimacha;no;no;Americas;Chitimacha;-91;29.66666667;ctm;ctm;chit1248;Swadesh-1946b
Choctaw;no;no;Americas;Muskogean;-88.5;32.25;cho;cct;choc1276;Nicklas-1979
Chontal (Huamelultec Oaxaca);no;yes;Americas;Tequistlatecan;-95.75;16;clo;chx;lowl1260;Waterhouse-1962
Chukchi;no;no;Asia;Northern_Chukotko_Kamchatkan;-173;67;ckt;chk;chuk1273;Dunn-1999
Chumash (Barbare_o);no;no;Americas;Chumash;-120.25;34.5;boi;cba;barb1263;Beeler-1976
Chumash (Ineseno);no;no;Americas;Chumash;-120.25;34.66666667;inz;cin;ines1240;Applegate-1972
Chuukese;yes;no;Pacific;Oceanic;151.75;7.333333333;chk;cuu;chuu1238;Lynch-1998
Chuvash;no;yes;Europe;Turkic;47.5;55.5;chv;chv;chuv1255;Krueger-1961
Coos (Hanis);no;no;Americas;Coosan;-124.1666667;43.5;csz;coo;coos1249;Frachtenberg-1922a
Cree (Plains);no;yes;Americas;Algonquian;-110;54;crk;cre;plai1258;Wolfart-1973
Culina;no;yes;Americas;Arauan;-70.5;-6;cul;cul;culi1244;Dienst-2006
Dagaare;no;yes;Africa;Gur;-2.666666667;10.5;dga;dga;sout2789;Bodomo-1997
Dargwa;no;yes;Europe;Lak_Dargwa;47.41666667;42.25;dar;drg;darg1241;Isaev-2004
Datooga;no;yes;Africa;Nilotic;35.33333333;-4.333333333;tcc;dat;dato1239;Datooga-2000
Deni;no;yes;Americas;Arauan;-67;-6;dny;den;deni1241;Deni-1991
Dizi;no;yes;Africa;Dizoid;36.5;6.166666667;mdx;diz;dizi1235;Allan-1976b
Djingili;no;no;Pacific;West_Barkly;134;-17.75;jig;dji;djin1251;Chadwick-1975
Dobel;yes;no;Asia;Central_Malayo_Polynesian;134.6666667;-6.25;kvo;dob;dobe1238;Hughes-2000
Drehu;no;no;Pacific;Oceanic;167.25;-21;dhv;dre;dehu1237;Moyse-Faurie-1983
Dumo;no;no;Pacific;Western_Skou;141.3;-2.683333333;vam;dum;vani1248;Ross-1980
Dyirbal;no;no;Pacific;Pama_Nyungan;145.5833333;-17.83333333;dbl;dyi;dyir1250;Dixon-1972
English;no;yes;Americas;Germanic;0;52;eng;eng;stan1293;Quirk-et-al-1985
Epena Pedee;no;yes;Americas;Choco;-77;3;sja;epe;epen1239;Harms-1994
Erromangan;no;no;Pacific;Oceanic;169.1666667;-18.83333333;erg;err;siee1239;Crowley-1998a
Evenki;no;yes;Asia;Tungusic;125;56;evn;eve;even1259;Nedjalkov-1997
Eyak;yes;no;Americas;Eyak;-145;60.5;eya;eya;eyak1241;Kinkade-2001
Fijian;no;no;Pacific;Oceanic;178;-17.83333333;fij;fij;fiji1243;Schutz-1985
Finnish;no;yes;Europe;Finnic;25;62;fin;fin;finn1318;Sulkala-and-Karjalainen-1992
French;no;yes;Europe;Romance;2;48;fra;fre;stan1290;Harris-1988
Fula (Mauritanian);no;yes;Africa;Northern_Atlantic;-13.75;16.5;fuc;fma;pula1263;Arnott-1970
Fur;no;yes;Africa;Fur;25;13.5;fvr;fur;furr1244;Beaton-1968
Futuna-Aniwa;no;yes;Pacific;Oceanic;170.2166667;-19.53333333;fut;fut;futu1245;Dougherty-1983
Gaagudju;no;no;Pacific;Gaagudju;132.8333333;-12.58333333;gbu;gaa;gaga1251;Harvey-1992
Garo;yes;no;Asia;Bodo_Garo;90.5;25.66666667;grt;gar;garo1247;Burling-1961
Garrwa;no;no;Pacific;Garrwan;137.1666667;-17.08333333;gbc;grr;gara1261;Mushin-2005
Gaviao;no;no;Americas;Monde;-62;-10.66666667;gvo;gav;gavi1246;Moore-1984
Gbeya Bossangoa;no;yes;Africa;Gbaya_Manza_Ngbaka;17.5;6.666666667;gbp;gbb;gbay1287;Samarin-1966
Georgian;no;yes;Asia;Kartvelian;44;42;kat;geo;nucl1302;Aronson-1982
German;no;yes;Europe;Germanic;10;52;deu;ger;stan1295;Jessen-1999
Gilaki;yes;no;Asia;Iranian;50;37.33333333;glk;gil;gila1241;Christensen-1930
Gooniyandi;no;no;Pacific;Bunuban;126.3333333;-18.33333333;gni;goo;goon1238;McGregor-1990
Guarani;no;no;Americas;Tupi_Guaran_;-56;-26;gug;gua;para1311;Krivoshein-de-Canese-1983
Guduf;no;yes;Africa;Biu_Mandara;13.8;11.23333333;gdf;gdf;gudu1252;Guduf-1966
Gunin;no;no;Pacific;Wororan;126.6666667;-14.25;gww;gnn;kwin1241;McGregor-1993
Haida;yes;no;Americas;Haida;-132;53;hdn;hai;haid1248;Swanton-1991
Hatam;yes;no;Asia;Hatam;134;-1;had;hat;hata1243;Reesink-1999
Hausa;no;yes;Africa;West_Chadic;7;12;hau;hau;haus1257;Newman-2000
Hawaiian;no;no;Americas;Oceanic;-155.5;19.58333333;haw;haw;hawa1245;Alexander-1968
Hebrew (Modern);no;yes;Asia;Semitic;34.83333333;31.5;heb;heb;hebr1245;Glinert-1989
Hindi;no;yes;Asia;Indic;77;25;hin;hin;hind1269;Sandahl-2000
Hixkaryana;no;no;Americas;Cariban;-59;-1;hix;hix;hixk1239;Derbyshire-1985
Hmong Daw;yes;no;Asia;Hmong_Mien;105;26;mww;hmd;hmon1333;Mottin-1978
Hokkien;yes;no;Asia;Chinese;118;25;nan;hok;minn1241;Hokkien-2011
Hua;no;no;Pacific;Eastern_Highlands;145.3333333;-6.333333333;ygr;hua;yaga1260;Haiman-1980
Hungarian;yes;yes;Europe;Ugric;20;47;hun;hun;hung1274;Beckwith-1992
Hunzib;no;yes;Europe;Avar_Andic_Tsezic;46.25;42.16666667;huz;hzb;hunz1247;van-den-Berg-1995
Hup;no;no;Americas;Nadahup;-69.25;0.166666667;jup;hpd;hupd1244;Goddard-1911
Hyow;yes;no;Asia;Kuki_Chin;92.41666667;22.08333333;csh;hyo;asho1236;Hyow-2018
Iaai;no;no;Pacific;Oceanic;166.5833333;-20.41666667;iai;iaa;iaai1238;Ozanne-Rivierre-1998
Igbo;no;yes;Africa;Igboid;7.333333333;6;ibo;igb;nucl1417;Ikekeonwu-1999
Ika;no;no;Americas;Aruak;-73.75;10.66666667;arh;ika;arhu1242;Frank-1990
Imonda;no;yes;Pacific;Border;141.1666667;-3.333333333;imn;imo;imon1245;Seiler-1985
Indonesian;yes;no;Asia;Malayo_Sumbawan;106;0;ind;ind;indo1316;Mintz-1994
Ingush;no;yes;Europe;Nakh;45.08333333;43.16666667;inh;ing;ingu1240;Handel-and-Nichols-2000
Iraqw;no;yes;Africa;Southern_Cushitic;35.5;-4;irk;irq;iraq1241;Mous-1992
Jahai;yes;no;Asia;Aslian;101.5;5.75;jhi;jah;jeha1242;Burenhult-2000
Jakaltek;yes;no;Americas;Mayan;-91.66666667;15.66666667;jac;jak;popt1235;Suarez-1983b
Jamamadi;no;yes;Americas;Arauan;-67;-7.5;jaa;jmm;jama1261;Jama-2004
Jaminjung;no;no;Pacific;Jaminjungan;130.5;-15.08333333;djd;jam;djam1255;Schultze-Berndt-2000
Japanese;yes;no;Asia;Japanese;140;37;jpn;jpn;nucl1643;Martin-1991a
Jaqaru;no;no;Americas;Aymaran;-76;-13;jqr;jaq;jaqa1244;Hardman-1983
Javanese;yes;no;Asia;Javanese;111;-7;jav;jav;java1254;Robson-1992
Jivaro;no;no;Americas;Jivaroan;-78;-2.5;jiv;jiv;shua1257;Shuar-2014
Ju|'hoan;no;yes;Africa;Northern_Khoisan;21;-19;ktz;juh;juho1239;Dickens-1992
Kalapuya;no;no;Americas;Kalapuyan;-123;44.5;kyl;klp;kala1400;Kinkade-2001
Kambera;yes;no;Asia;Central_Malayo_Polynesian;120.1666667;-9.833333333;xbr;kam;kamb1299;Klamer-1998
Kana;yes;no;Africa;Cross_River;7.416666667;4.75;ogo;kan;khan1278;Ikoro-1996
Kannada;no;no;Asia;Southern_Dravidian;76;14;kan;knd;nucl1305;Schiffman-1983
Kanuri;no;no;Africa;Western_Saharan;13;12;knc;knr;cent2050;Cyffer-1998
Karok;no;no;Americas;Karok;-123;41.66666667;kyh;krk;karo1304;Bright-1957
Kate;no;no;Pacific;Finisterre_Huon;147.75;-6.5;kmg;kat;kate1253;Pilhofer-1933
Kayah Li (Eastern);yes;no;Asia;Karen;97.5;19;eky;kyl;east2342;Solnit-1997
Kayan (Baram);yes;no;Asia;North_Borneo;114.5;3.5;kys;kbr;bara1370;Omar-1983
Kayu Agung;yes;no;Asia;Lampungic;104.9166667;-3.166666667;kge;kag;kome1238;Gani-et-al-1986
Ke'o;yes;no;Asia;Central_Malayo_Polynesian;121.25;-8.833333333;xxk;keo;keoo1238;Baird-2001
Kei;yes;no;Asia;Central_Malayo_Polynesian;132.9166667;-5.833333333;kei;kei;keii1239;Geurtjens-1921
Kelabit;no;no;Asia;North_Borneo;115.4166667;3.666666667;kzi;klt;kela1258;Omar-1983
Kenyah (Uma' Lung);yes;no;Africa;North_Borneo;115.8333333;3;;keu;;dryer_world_2013
Ketapang;yes;no;Asia;Malayo_Sumbawan;110;-1.866666667;zlm;ktp;mala1479;Ketapang-1994
Kewa;no;no;Pacific;Engan;143.8333333;-6.5;kew;kew;kewa1250;Franklin-1971
Khalkha;no;yes;Asia;Mongolic;105;47;khk;kha;halh1238;Poppe-1970
Kham;yes;no;Asia;Mahakiranti;82.75;28.5;kgj;kmh;gama1251;Watters-2002
Kharia;yes;no;Asia;Munda;84.33333333;22.5;khr;khr;khar1287;Biligiri-1965
Khmer;yes;no;Asia;Khmer;105;12.5;khm;khm;cent1989;Ehrman-1972b
Khmu';yes;no;Asia;Palaung_Khmuic;102;21;kjg;kmu;khmu1256;Premsrirat-1987
Khoekhoe;no;yes;Africa;Central_Khoisan;18;-25.5;naq;kho;nama1264;Bohm-1985
Khumi;yes;no;Asia;Kuki_Chin;92.41666667;21.91666667;cnk;khu;khum1248;Khumi-1964
Kilivila;yes;no;Pacific;Oceanic;151.0833333;-8.5;kij;klv;kili1267;Senft-1952
Kiowa;no;yes;Americas;Kiowa_Tanoan;-99;37;kio;kio;kiow1266;Watkins-1980
Kiribati;yes;no;Pacific;Oceanic;173;1.333333333;gil;krb;gilb1244;Groves-et-al-1985
